"Depth_m","DA","Horizon_days","TempDynamics","RMSE_C"
1,"Daily",1,"Mixed",0.218500457286835
1,"Daily",7,"Mixed",0.6157693121776
1,"Daily",35,"Mixed",1.90139073321354
1,"Weekly",1,"Mixed",0.25174691314455
1,"Weekly",7,"Mixed",0.50127917929888
1,"Weekly",35,"Mixed",2.03775568719534
1,"Fortnightly",1,"Mixed",0.325968455589845
1,"Fortnightly",7,"Mixed",0.50472786301598
1,"Fortnightly",35,"Mixed",1.91429888474336
1,"Monthly",1,"Mixed",0.52941062040627
1,"Monthly",7,"Mixed",0.514542117964475
1,"Monthly",35,"Mixed",1.85151771257967
1,"Daily",1,"Stratified",0.400433498382601
1,"Daily",7,"Stratified",1.5533679769516
1,"Daily",35,"Stratified",1.9808490447484
1,"Weekly",1,"Stratified",0.467152341842699
1,"Weekly",7,"Stratified",0.8713771900177
1,"Weekly",35,"Stratified",1.2502327030182
1,"Fortnightly",1,"Stratified",0.628510686492902
1,"Fortnightly",7,"Stratified",0.85891102705
1,"Fortnightly",35,"Stratified",1.4969099559784
1,"Monthly",1,"Stratified",0.612396945190401
1,"Monthly",7,"Stratified",0.885932397270199
1,"Monthly",35,"Stratified",1.48817926304936
5,"Daily",1,"Mixed",0.15735950698853
5,"Daily",7,"Mixed",0.58650286226273
5,"Daily",35,"Mixed",1.33424244459793
5,"Weekly",1,"Mixed",0.26036409268379
5,"Weekly",7,"Mixed",0.45515680127144
5,"Weekly",35,"Mixed",1.40623819155097
5,"Fortnightly",1,"Mixed",0.27760940022469
5,"Fortnightly",7,"Mixed",0.45454844632149
5,"Fortnightly",35,"Mixed",1.27926084034144
5,"Monthly",1,"Mixed",0.4684369581223
5,"Monthly",7,"Mixed",0.43297060785294
5,"Monthly",35,"Mixed",1.16980136519298
5,"Daily",1,"Stratified",1.405093901062
5,"Daily",7,"Stratified",1.3771754383087
5,"Daily",35,"Stratified",1.0229515613556
5,"Weekly",1,"Stratified",1.2792496837616
5,"Weekly",7,"Stratified",1.1717017627716
5,"Weekly",35,"Stratified",1.1131191116333
5,"Fortnightly",1,"Stratified",1.2598477938652
5,"Fortnightly",7,"Stratified",1.2390446893692
5,"Fortnightly",35,"Stratified",1.1773858185768
5,"Monthly",1,"Stratified",1.3402665690422
5,"Monthly",7,"Stratified",1.37222963180542
5,"Monthly",35,"Stratified",1.3107501276016
9,"Daily",1,"Mixed",0.156046845817571
9,"Daily",7,"Mixed",0.54072717790604
9,"Daily",35,"Mixed",0.93081126289368
9,"Weekly",1,"Mixed",0.23173482678533
9,"Weekly",7,"Mixed",0.47910169628263
9,"Weekly",35,"Mixed",0.95031354284287
9,"Fortnightly",1,"Mixed",0.29439510278702
9,"Fortnightly",7,"Mixed",0.47448830413818
9,"Fortnightly",35,"Mixed",0.9425928312391
9,"Monthly",1,"Mixed",0.53612179472446
9,"Monthly",7,"Mixed",0.4958107892096
9,"Monthly",35,"Mixed",0.86572810640633
9,"Daily",1,"Stratified",0.125164318370821
9,"Daily",7,"Stratified",0.36210463910103
9,"Daily",35,"Stratified",1.0759221842289
9,"Weekly",1,"Stratified",0.152503070688235
9,"Weekly",7,"Stratified",0.149488184070599
9,"Weekly",35,"Stratified",0.274384210872656
9,"Fortnightly",1,"Stratified",0.18523950695994
9,"Fortnightly",7,"Stratified",0.19036075129509
9,"Fortnightly",35,"Stratified",0.251180955791474
9,"Monthly",1,"Stratified",0.184199314546594
9,"Monthly",7,"Stratified",0.195558964252469
9,"Monthly",35,"Stratified",0.34157642960546
