"depth","DA","comparison","Z","p.value"
1,"daily","1 - 35",-11.6155952817133,1.03016512970148e-30
1,"daily","1 - 7",-5.115690627002,3.12595061724423e-07
1,"daily","35 - 7",6.8056293769281,2.01216833615123e-11
1,"weekly","1 - 35",-10.8506999357913,5.93711942246306e-27
1,"weekly","1 - 7",-3.1795595590897,0.00147499054422216
1,"weekly","35 - 7",7.82190969191418,1.04055860018493e-14
1,"fortnightly","1 - 35",-9.60147366335788,2.36428396175492e-21
1,"fortnightly","1 - 7",-3.694981600907,0.000219902710668587
1,"fortnightly","35 - 7",6.11421543313789,1.94066299028419e-09
1,"monthly","1 - 35",-7.97861187311606,4.4396436390367e-15
1,"monthly","1 - 7",-2.74630185041942,0.00602712819423087
1,"monthly","35 - 7",5.3862863531451,1.43856672620216e-07
5,"daily","1 - 35",-12.0476206030842,5.9888888520201e-33
5,"daily","1 - 7",-6.92872934231152,8.49274662179153e-12
5,"daily","35 - 7",5.57279206445409,2.50688721517756e-08
5,"weekly","1 - 35",-10.1640257839515,8.60929492527206e-24
5,"weekly","1 - 7",-4.60519807869294,4.12073441872445e-06
5,"weekly","35 - 7",5.83720525614023,1.06167371268146e-08
5,"fortnightly","1 - 35",-9.06778747621348,3.64374533581954e-19
5,"fortnightly","1 - 7",-4.750436905807,4.05955240111178e-06
5,"fortnightly","35 - 7",4.61982086314765,3.84071500962981e-06
5,"monthly","1 - 35",-6.64601370963399,9.03411666777582e-11
5,"monthly","1 - 7",-3.13745979199518,0.00170418646505348
5,"monthly","35 - 7",3.7068668565873,0.000419678377478939
9,"daily","1 - 35",-11.0152520648886,9.67896855618742e-28
9,"daily","1 - 7",-7.67145177964474,3.40120822536615e-14
9,"daily","35 - 7",3.87147348574357,0.000108179426038079
9,"weekly","1 - 35",-8.25885935045376,4.41213310093011e-16
9,"weekly","1 - 7",-4.06806451767391,4.74052571552848e-05
9,"weekly","35 - 7",4.44448194259819,1.76207814354778e-05
9,"fortnightly","1 - 35",-6.44184743174231,3.54083693003626e-10
9,"fortnightly","1 - 7",-4.12022290854417,7.57012052398783e-05
9,"fortnightly","35 - 7",2.59934778158103,0.00934010920302636
9,"monthly","1 - 35",-4.20445409868674,7.85139124150418e-05
9,"monthly","1 - 7",-1.89918429147265,0.0575402493752785
9,"monthly","35 - 7",2.42366703230796,0.0307293713765748
