"depth","comparison","Z","p.value"
1,"Daily - Fortnightly",-3.23400336635891,0.00488272067110151
1,"Daily - Monthly",-3.6271146387991,0.00171963639818203
1,"Fortnightly - Monthly",-0.395642782312561,1
1,"Daily - Weekly",-0.149505367576803,0.881154874255725
1,"Fortnightly - Weekly",3.08449799878211,0.00611687945278588
1,"Monthly - Weekly",3.47772630088217,0.00252842993552469
5,"Daily - Fortnightly",-3.84187057311355,0.000488400876455413
5,"Daily - Monthly",-4.87315865456434,6.58967711674136e-06
5,"Fortnightly - Monthly",-1.03429541699823,0.601996157466531
5,"Daily - Weekly",-0.772569254500314,0.439777346086435
5,"Fortnightly - Weekly",3.06930131861324,0.00643680200055372
5,"Monthly - Weekly",4.10119415104085,0.000205511755496299
9,"Daily - Fortnightly",-3.88071842453115,0.000416593450984245
9,"Daily - Monthly",-5.59444094789267,1.32800270674641e-07
9,"Fortnightly - Monthly",-1.71676026819067,0.172045966492032
9,"Daily - Weekly",-0.97654722916129,0.328793355262072
9,"Fortnightly - Weekly",2.90417119536986,0.0110468025901167
9,"Monthly - Weekly",4.61865813938016,1.93114784939041e-05
