"depth..m.","DA","comparison","mixed_pvalue","stratified_pvalue"
1,"daily","1 - 35",1.03016512970148e-30,2.0756140643829e-60
1,"daily","1 - 7",3.12595061724423e-07,2.13049957350257e-34
1,"daily","35 - 7",2.01216833615123e-11,2.98299823745604e-05
1,"weekly","1 - 35",5.93711942246306e-27,1.17854125314343e-30
1,"weekly","1 - 7",0.00147499054422216,2.68296808077009e-05
1,"weekly","35 - 7",1.04055860018493e-14,2.6179009777705e-13
1,"fortnightly","1 - 35",2.36428396175492e-21,9.03546439109893e-22
1,"fortnightly","1 - 7",0.000219902710668587,0.000130671748885961
1,"fortnightly","35 - 7",1.94066299028419e-09,8.46105086996387e-09
1,"monthly","1 - 35",4.4396436390367e-15,1.24429879054671e-31
1,"monthly","1 - 7",0.00602712819423087,5.58148532631477e-08
1,"monthly","35 - 7",1.43856672620216e-07,3.95264514649439e-10
5,"daily","1 - 35",5.9888888520201e-33,5.86786942254461e-67
5,"daily","1 - 7",8.49274662179153e-12,5.2114174736457e-14
5,"daily","35 - 7",2.50688721517756e-08,1.7755136012033e-22
5,"weekly","1 - 35",8.60929492527206e-24,7.22095875619387e-52
5,"weekly","1 - 7",4.12073441872445e-06,1.251235022528e-10
5,"weekly","35 - 7",1.06167371268146e-08,2.9332948358531e-18
5,"fortnightly","1 - 35",3.64374533581954e-19,7.58652797085383e-41
5,"fortnightly","1 - 7",4.05955240111178e-06,3.10391577371638e-08
5,"fortnightly","35 - 7",3.84071500962981e-06,4.41588642093301e-15
5,"monthly","1 - 35",9.03411666777582e-11,1.55685789454752e-20
5,"monthly","1 - 7",0.00170418646505348,0.000684617501907954
5,"monthly","35 - 7",0.000419678377478939,3.71947833783098e-09
9,"daily","1 - 35",9.67896855618742e-28,6.74495664808335e-73
9,"daily","1 - 7",3.40120822536615e-14,6.88003079072006e-14
9,"daily","35 - 7",0.000108179426038079,4.36592348660067e-26
9,"weekly","1 - 35",4.41213310093011e-16,2.79353910959447e-16
9,"weekly","1 - 7",4.74052571552848e-05,0.0230567327991201
9,"weekly","35 - 7",1.76207814354778e-05,3.06790858146968e-09
9,"fortnightly","1 - 35",3.54083693003626e-10,1.82714901410692e-06
9,"fortnightly","1 - 7",7.57012052398783e-05,0.123151608509832
9,"fortnightly","35 - 7",0.00934010920302636,0.00113518265873616
9,"monthly","1 - 35",7.85139124150418e-05,2.16118331134943e-10
9,"monthly","1 - 7",0.0575402493752785,0.209084429660568
9,"monthly","35 - 7",0.0307293713765748,2.87701176629645e-07
