"Depth_m","DA","Comparison","Mixed_pvalue","Stratified_pvalue"
1,"daily","1 - 35",1.53254548546795e-31,5.20862126500496e-59
1,"daily","1 - 7",1.75444642489325e-08,4.74530700413072e-35
1,"daily","35 - 7",2.16901350098947e-10,9.22328186908413e-05
1,"weekly","1 - 35",8.27942421028891e-30,4.39559114031934e-28
1,"weekly","1 - 7",7.13838358736496e-05,1.02377847254421e-09
1,"weekly","35 - 7",4.114970411082e-14,9.73225240879894e-07
1,"fortnightly","1 - 35",1.22341905321983e-23,1.9884246957459e-22
1,"fortnightly","1 - 7",0.00145446615304115,0.00776474894526367
1,"fortnightly","35 - 7",2.86423034576828e-12,1.18238039126624e-12
1,"monthly","1 - 35",8.94278005812051e-16,6.57628022961462e-26
1,"monthly","1 - 7",0.681584401582895,1.22589442768384e-05
1,"monthly","35 - 7",2.73770493292616e-14,7.0272769735624e-10
5,"daily","1 - 35",1.99971763451158e-22,0.163815956422956
5,"daily","1 - 7",5.65183304777004e-09,0.327427089069842
5,"daily","35 - 7",9.96970505082761e-06,0.0182218070625418
5,"weekly","1 - 35",2.52287409359171e-18,1
5,"weekly","1 - 7",0.00270564481520012,0.934422472593201
5,"weekly","35 - 7",2.78088755239532e-09,1
5,"fortnightly","1 - 35",1.44674430397653e-16,0.825465382138438
5,"fortnightly","1 - 7",0.0120330899037705,1
5,"fortnightly","35 - 7",3.18316112392707e-09,1
5,"monthly","1 - 35",8.07816277874968e-11,1
5,"monthly","1 - 7",0.563260757160266,0.942283171239975
5,"monthly","35 - 7",2.82439905337511e-09,1
9,"daily","1 - 35",1.23276840462044e-21,2.27007835732054e-81
9,"daily","1 - 7",6.13051299531102e-13,3.99701885621829e-16
9,"daily","35 - 7",0.00312825909266542,5.84456436416666e-28
9,"weekly","1 - 35",7.31150870295751e-18,1.731970126591e-09
9,"weekly","1 - 7",1.44237441606979e-05,0.514159924843207
9,"weekly","35 - 7",5.03593092308648e-06,5.90850374724029e-08
9,"fortnightly","1 - 35",9.38872696306740e-12,0.0031571076222849
9,"fortnightly","1 - 7",0.000728241416022537,0.421967898895381
9,"fortnightly","35 - 7",0.000254396642703566,0.0267873280892561
9,"monthly","1 - 35",1.16962078617584e-06,1.07001753622778e-05
9,"monthly","1 - 7",0.46564491097313,0.351874046277128
9,"monthly","35 - 7",2.67124610528218e-05,0.000424129169839386
