"Depth_m","Comparison","Mixed_pvalue","Stratified_pvalue"
1,"Daily - Fortnightly",1,0.000584000191100626
1,"Daily - Monthly",0.0480193189369669,0.000458517976234377
1,"Fortnightly - Monthly",0.317727496121543,0.9094127929018
1,"Daily - Weekly",1,7.65387387379927e-09
1,"Fortnightly - Weekly",0.709676402500675,0.0691403227328464
1,"Monthly - Weekly",0.16739861774862,0.0617190888830873
5,"Daily - Fortnightly",0.351547978600952,0.799500795823499
5,"Daily - Monthly",0.0157703691728377,1
5,"Fortnightly - Monthly",0.461644450255141,1
5,"Daily - Weekly",0.604220985178468,1
5,"Fortnightly - Weekly",0.594478263675563,1
5,"Monthly - Weekly",0.334091638768086,0.392601809592435
9,"Daily - Fortnightly",0.0770082053779874,1.89260260687843e-13
9,"Daily - Monthly",0.000223264712941209,5.77628904034789e-09
9,"Fortnightly - Monthly",0.223497815520306,0.129094902749631
9,"Daily - Weekly",0.46349967135093,2.86859990615006e-19
9,"Fortnightly - Weekly",0.252312451744579,0.218896113278163
9,"Monthly - Weekly",0.0170418415008798,0.00545582228489666
