"depth","DA","comparison","Z","p.value"
1,"daily","1 - 35",-16.4616511432378,2.0756140643829e-60
1,"daily","1 - 7",-12.2868907319036,2.13049957350257e-34
1,"daily","35 - 7",4.17476041133425,2.98299823745604e-05
1,"weekly","1 - 35",-11.6040893993542,1.17854125314343e-30
1,"weekly","1 - 7",-4.19883070410523,2.68296808077009e-05
1,"weekly","35 - 7",7.40525869524902,2.6179009777705e-13
1,"fortnightly","1 - 35",-9.70010715833209,9.03546439109893e-22
1,"fortnightly","1 - 7",-3.82518909521988,0.000130671748885961
1,"fortnightly","35 - 7",5.87491806311221,8.46105086996387e-09
1,"monthly","1 - 35",-11.7948851145297,1.24429879054671e-31
1,"monthly","1 - 7",-5.43171551640246,5.58148532631477e-08
1,"monthly","35 - 7",6.36316959812729,3.95264514649439e-10
5,"daily","1 - 35",-17.3504821593738,5.86786942254461e-67
5,"daily","1 - 7",-7.52651079112073,5.2114174736457e-14
5,"daily","35 - 7",9.82397136825308,1.7755136012033e-22
5,"weekly","1 - 35",-15.2251790842542,7.22095875619387e-52
5,"weekly","1 - 7",-6.43298317983038,1.251235022528e-10
5,"weekly","35 - 7",8.79219590442384,2.9332948358531e-18
5,"fortnightly","1 - 35",-13.4645411526644,7.58652797085383e-41
5,"fortnightly","1 - 7",-5.53547185479914,3.10391577371638e-08
5,"fortnightly","35 - 7",7.92906929786526,4.41588642093301e-15
5,"monthly","1 - 35",-9.40527309569485,1.55685789454752e-20
5,"monthly","1 - 7",-3.39566638141217,0.000684617501907954
5,"monthly","35 - 7",6.00960671428268,3.71947833783098e-09
9,"daily","1 - 35",-18.1192020964852,6.74495664808335e-73
9,"daily","1 - 7",-7.49013976838643,6.88003079072006e-14
9,"daily","35 - 7",10.6290623280988,4.36592348660067e-26
9,"weekly","1 - 35",-8.31324757432359,2.79353910959447e-16
9,"weekly","1 - 7",-2.27249329030477,0.0230567327991201
9,"weekly","35 - 7",6.04075428401882,3.06790858146968e-09
9,"fortnightly","1 - 35",-6.44184743174231,3.54083693003626e-10
9,"fortnightly","1 - 7",-4.12022290854417,7.57012052398783e-05
9,"fortnightly","35 - 7",2.59934778158103,0.00934010920302636
9,"monthly","1 - 35",-6.51634861124796,2.16118331134943e-10
9,"monthly","1 - 7",-1.25608699790468,0.209084429660568
9,"monthly","35 - 7",5.26026161334328,2.87701176629645e-07
