"depth","comparison","Z","p.value"
1,"Daily - Fortnightly",1.25878144293841,0.208109284881292
1,"Daily - Monthly",3.39120287445853,0.00278346280862179
1,"Fortnightly - Monthly",2.13242143152013,0.0659444342002089
1,"Daily - Weekly",5.94295236620355,1.67960280084546e-08
1,"Fortnightly - Weekly",4.68417092326515,1.40547687096091e-05
1,"Monthly - Weekly",2.55174949174502,0.0321550659768776
5,"Daily - Fortnightly",-3.93212675146275,0.000252592945101703
5,"Daily - Monthly",-9.1974600912435,2.19906158582125e-19
5,"Fortnightly - Monthly",-5.26533333978075,5.59740863470201e-07
5,"Daily - Weekly",-2.18936796316078,0.0571402124605832
5,"Fortnightly - Weekly",1.74275878830198,0.0813757578489398
5,"Monthly - Weekly",7.00809212808273,1.20794858926905e-11
9,"Daily - Fortnightly",4.49962420428157,3.40368482776595e-05
9,"Daily - Monthly",3.20653689942021,0.00403029222680561
9,"Fortnightly - Monthly",-1.29308730486136,0.195980865383035
9,"Daily - Weekly",7.1759375057,4.30880129915545e-12
9,"Fortnightly - Weekly",2.67631330141842,0.0148874050205631
9,"Monthly - Weekly",3.96940060627979,0.000288214618123598
