horizon,forecast_date,depth,mean,sd,obs,turnover_pct
1,2021-01-09,0.5,3.29236365258694,0.806272831220057,3.3231,100
1,2021-01-09,1.5,3.36269770622253,0.79333062873436,3.3129,100
1,2021-01-09,2.5,3.55079751491547,0.718156380495333,3.3366,100
1,2021-01-09,3.5,3.6094041955471,0.739741102572755,3.3068,100
1,2021-01-09,4.5,3.67501416802406,0.707398372770357,3.3323,100
1,2021-01-09,5.5,3.61499665141106,0.595686753195734,3.354,100
1,2021-01-09,7,3.63161395072937,0.424932297575684,3.3119,100
1,2021-01-09,8,3.63111779093742,0.340600092667781,3.3366,100
1,2021-01-09,9,3.61048649072647,0.33296224912686,3.3255,100
1,2021-01-09,10,3.62562374353409,0.323276396395443,3.3424,100
1,2021-01-09,11,3.66250032782555,0.358205601417836,3.307,100
2,2021-01-09,0.5,2.25857668161392,1.06234223797608,2.3487,95
2,2021-01-09,1.5,3.4716861564666,0.955255554645894,2.7393,95
2,2021-01-09,2.5,3.56237885057926,0.930400174966712,2.9716,95
2,2021-01-09,3.5,3.61646624475718,0.881007950998125,3.1989,95
2,2021-01-09,4.5,3.66984336555004,0.842889833121396,3.2763,95
2,2021-01-09,5.5,3.73284437894821,0.721055233964168,3.326,95
2,2021-01-09,7,3.78501545786858,0.487146474301382,3.2876,95
2,2021-01-09,8,3.82184789061546,0.376964017675132,3.3385,95
2,2021-01-09,9,3.81415727853775,0.361029294419009,3.3677,95
2,2021-01-09,10,3.8501631462574,0.348037759311521,3.4003,95
2,2021-01-09,11,3.87544160962105,0.356568882559249,3.3739,95
3,2021-01-09,0.5,2.43044099686667,1.36628150691145,2.5829,95.5
3,2021-01-09,1.5,3.70914349287748,1.13260433782922,2.6264,95.5
3,2021-01-09,2.5,3.77771354407072,1.08221056365669,2.6779,95.5
3,2021-01-09,3.5,3.84583165735006,1.04733323258007,2.6844,95.5
3,2021-01-09,4.5,3.90066232889891,1.01495310539604,2.819,95.5
3,2021-01-09,5.5,3.92691093683243,0.77580896309545,2.9588,95.5
3,2021-01-09,7,3.96435915112495,0.542568641495115,2.97,95.5
3,2021-01-09,8,3.95539510965347,0.406644138415396,3.1261,95.5
