horizon,forecast_date,depth,mean,sd,obs,turnover_pct
1,2021-04-03,0.5,9.7136023235321,0.972752063107822,9.7401,41
1,2021-04-03,1.5,9.44306366920471,0.999974061569476,9.738,41
1,2021-04-03,2.5,9.11248944282532,0.997596315259258,9.7682,41
1,2021-04-03,3.5,8.99804947853088,0.939018248442516,9.7217,41
1,2021-04-03,5,8.95004076480866,0.849536327652429,9.4495,41
1,2021-04-03,6,8.87951295375824,0.704304784462997,9.2656,41
1,2021-04-03,7,8.8275884437561,0.662537363660379,8.9833,41
1,2021-04-03,8,8.76094604969025,0.550793275868683,8.9167,41
1,2021-04-03,9,8.73787304401398,0.526442150879213,8.7795,41
1,2021-04-03,10,8.71486865282059,0.484051923995423,8.6097,41
1,2021-04-03,11,7.94457153081894,0.694173755567689,8.4073,41
2,2021-04-03,0.5,9.35433608531952,1.10831683595993,10.3591,55.5
2,2021-04-03,1.5,9.37848134756088,1.15271749097346,10.3516,55.5
2,2021-04-03,2.5,9.34760061264038,1.14137258833382,10.3664,55.5
2,2021-04-03,3.5,9.32426589250564,1.17260257603998,10.3336,55.5
2,2021-04-03,4.5,9.31193692684174,1.16139986684351,9.0958,55.5
2,2021-04-03,6,9.19848251819611,0.845714047633871,8.9821,55.5
2,2021-04-03,7,9.03672872304916,0.744455571697232,8.8438,55.5
2,2021-04-03,8,8.8849773311615,0.658409433304576,8.7521,55.5
2,2021-04-03,9,8.76729593753815,0.605864104286736,8.6345,55.5
2,2021-04-03,10,8.62368705034256,0.586664460323204,8.5541,55.5
2,2021-04-03,11,8.03100398302078,0.725952408837859,8.4404,55.5
3,2021-04-03,0.5,10.5450819349289,1.21194048233084,12.8816,23.5
3,2021-04-03,1.5,9.68505345344543,1.24087323597833,12.5831,23.5
3,2021-04-03,2.5,9.42162431955338,1.22734507966169,10.5305,23.5
3,2021-04-03,3.5,9.2857913017273,1.25193290365272,10.0051,23.5
3,2021-04-03,4.5,9.21140435934067,1.17829521411789,9.5027,23.5
3,2021-04-03,5.5,9.14310490846634,1.096990031506,9.1496,23.5
3,2021-04-03,7,8.88698568344116,0.876076771290355,8.8051,23.5
3,2021-04-03,8,8.73064553022385,0.780060889399566,8.6654,23.5
3,2021-04-03,9,8.63499806165695,0.721327446040979,8.545,23.5
3,2021-04-03,10,8.51495455503464,0.660887508654332,8.4742,23.5
3,2021-04-03,11,8.02479011297226,0.76745213995094,8.2839,23.5
4,2021-04-03,0.5,10.3977934932709,1.39050824676304,14.4355,22
4,2021-04-03,1.5,10.0936484932899,1.33596700120319,12.6237,22
4,2021-04-03,2.5,9.99439914941788,1.34607436443751,10.6859,22
4,2021-04-03,3.5,9.92319955825806,1.37286647299057,9.8696,22
4,2021-04-03,4.5,9.71422940015793,1.242085479354,9.5321,22
4,2021-04-03,5.5,9.5137386059761,1.18385011512636,9.1982,22
4,2021-04-03,7,9.08118318319321,0.960468094229939,8.8262,22
4,2021-04-03,8,8.83413475751877,0.886103920527343,8.6505,22
4,2021-04-03,9,8.62353767871857,0.818836072880376,8.4584,22
4,2021-04-03,10,8.43781847238541,0.749437845552488,8.3655,22
4,2021-04-03,11,8.00236089706421,0.780599813058398,8.238,22
5,2021-04-03,0.5,11.3590932154655,1.48253868122374,16.4641,16
5,2021-04-03,1.5,10.5757669615746,1.39607704458433,12.5121,16
5,2021-04-03,2.5,10.308789703846,1.41794152364645,10.2697,16
5,2021-04-03,3.5,10.1349355149269,1.37085328774889,9.5321,16
5,2021-04-03,4.5,9.80476026058197,1.28229675858698,9.1305,16
5,2021-04-03,5.5,9.54315011262894,1.16220273029427,8.8898,16
5,2021-04-03,7,9.15730022668838,1.02003635401146,8.5783,16
5,2021-04-03,8,8.90459812402725,0.903638765893205,8.5641,16
5,2021-04-03,9,8.67708298444748,0.825636161009641,8.507,16
5,2021-04-03,10,8.48000741243362,0.789587107301,8.4645,16
5,2021-04-03,11,8.08839150190353,0.818195955865969,8.1816,16
6,2021-04-03,0.5,11.241168012619,1.57772900347161,14.3106,15.5
6,2021-04-03,1.5,10.8939746856689,1.53136802121347,13.7347,15.5
6,2021-04-03,2.5,10.6822054100037,1.53910172172875,10.4742,15.5
6,2021-04-03,3.5,10.490678768158,1.44751824334054,9.3477,15.5
6,2021-04-03,4.5,10.1772808670998,1.43269077755611,9.049,15.5
6,2021-04-03,5.5,9.88383956670761,1.26075860163116,8.9312,15.5
6,2021-04-03,7,9.37559471845627,1.05508755052475,8.7475,15.5
6,2021-04-03,8,9.07530534744263,0.982335413441876,8.6448,15.5
6,2021-04-03,9,8.84681167364121,0.921770567755053,8.5844,15.5
6,2021-04-03,10,8.61565532207489,0.884667184584869,8.4022,15.5
6,2021-04-03,11,8.22533440828323,0.911165034830466,8.1289,15.5
7,2021-04-03,0.5,11.228203086853,1.5753189121128,14.2175,15
7,2021-04-03,1.5,11.0529322886467,1.56884661956619,10.909,15
7,2021-04-03,2.5,10.9269324469566,1.51965981515849,9.5291,15
7,2021-04-03,3.5,10.7544529461861,1.49346343410077,9.1741,15
