horizon,forecast_date,depth,mean,sd,obs,turnover_pct
1,2021-03-30,0.5,12.0042707490921,1.56114981908502,11.6199,1.5
1,2021-03-30,1.5,11.98882604599,1.58295199202107,11.6028,1.5
1,2021-03-30,2.5,12.059066286087,1.55961599864739,11.5822,1.5
1,2021-03-30,3.5,11.7391585898399,1.53428214991919,10.5004,1.5
1,2021-03-30,5,10.2418844866753,1.55705553180584,8.4633,1.5
1,2021-03-30,6,9.00086847066879,1.49340347715846,8.1041,1.5
1,2021-03-30,7,7.71175245761871,1.37469210344647,7.6169,1.5
1,2021-03-30,8,7.06297898769379,1.39160149296915,6.984,1.5
1,2021-03-30,9,6.82321535587311,1.35287475741167,6.5451,1.5
1,2021-03-30,10,6.63887085199356,1.3267710495309,6.4357,1.5
1,2021-03-30,11,6.43403373479843,1.21324989306808,6.3268,1.5
2,2021-03-30,0.5,11.7315730547905,1.68510426367248,11.8307,5
2,2021-03-30,1.5,11.5544124937057,1.6633789198051,11.8263,5
2,2021-03-30,2.5,11.5321471142769,1.65585180670889,11.8424,5
2,2021-03-30,3.5,11.3139204835892,1.69689989994484,11.8147,5
2,2021-03-30,5,10.1460398936272,1.64593832302287,11.8341,5
2,2021-03-30,6,9.02312699556351,1.61515175173854,11.8437,5
2,2021-03-30,7,7.82693568706512,1.51238969282266,11.748,5
2,2021-03-30,8,7.10923369884491,1.4483789778529,10.3604,5
2,2021-03-30,9,6.83518050909042,1.37884730436379,6.489,5
2,2021-03-30,10,6.64364858865738,1.34768077299138,6.3709,5
2,2021-03-30,11,6.43469710588455,1.21697289777651,6.3068,5
3,2021-03-30,0.5,10.7451141238213,1.7117695370011,10.0517,15.5
3,2021-03-30,1.5,10.7033130884171,1.6974893841431,10.0553,15.5
3,2021-03-30,2.5,10.7062383699417,1.69776984429301,10.0753,15.5
3,2021-03-30,3.5,10.6785334563255,1.67767557601917,10.0458,15.5
3,2021-03-30,5,10.5153448867798,1.51845916542852,10.0709,15.5
3,2021-03-30,6,9.83265817880631,1.46800864374811,10.0835,15.5
3,2021-03-30,7,8.92814666748047,1.68075852113658,10.0413,15.5
3,2021-03-30,8,8.12119772911072,1.76167818488352,10.0587,15.5
3,2021-03-30,9,7.66499147415161,1.7723939283781,9.9992,15.5
3,2021-03-30,10,7.33297112464905,1.76917337481205,9.0246,15.5
3,2021-03-30,11,7.11964705467224,1.83267251068072,6.7268,15.5
4,2021-03-30,0.5,10.003833129406,1.72330435903741,9.5077,26.5
4,2021-03-30,1.5,10.013188700676,1.63914309022471,9.5082,26.5
4,2021-03-30,2.5,9.99621048212051,1.61515822641351,9.5221,26.5
4,2021-03-30,3.5,10.0176462221146,1.68164934885677,9.4927,26.5
4,2021-03-30,5,9.80578930616379,1.59843562755702,9.5129,26.5
4,2021-03-30,6,9.51522509098053,1.36688141749254,9.52,26.5
4,2021-03-30,7,8.78319060325622,1.384438288701,9.4735,26.5
4,2021-03-30,8,8.11227982997894,1.51960585923124,9.4567,26.5
4,2021-03-30,9,7.62913975000381,1.58395451876595,9.1343,26.5
4,2021-03-30,10,7.33174895763397,1.61561161931886,8.5588,26.5
4,2021-03-30,11,7.08518951177597,1.66420332222947,8.397,26.5
5,2021-03-30,0.5,11.4235385966301,1.99102101886793,9.7401,12.5
5,2021-03-30,1.5,10.4625089001656,1.85389205637304,9.738,12.5
5,2021-03-30,2.5,9.89948098182678,1.77580976769577,9.7682,12.5
5,2021-03-30,3.5,9.56203692436218,1.75124140970978,9.7217,12.5
5,2021-03-30,5,9.36831118345261,1.60818930099699,9.4495,12.5
5,2021-03-30,6,9.07947934865951,1.37400698742604,9.2656,12.5
5,2021-03-30,7,8.51789363384247,1.2544081398448,8.9833,12.5
5,2021-03-30,8,7.89555061340332,1.33964557191773,8.9167,12.5
5,2021-03-30,9,7.45206760644913,1.3932480094401,8.7795,12.5
5,2021-03-30,10,7.14885086774826,1.42998080428408,8.6097,12.5
5,2021-03-30,11,6.88602937936783,1.41762608930119,8.4073,12.5
6,2021-03-30,0.5,11.9955430006981,2.19955359526902,10.3591,8.5
6,2021-03-30,1.5,11.0306968903542,1.98960519873187,10.3516,8.5
6,2021-03-30,2.5,10.4371682882309,1.9440084770088,10.3664,8.5
6,2021-03-30,3.5,10.0000937271118,1.87054777097285,10.3336,8.5
6,2021-03-30,4.5,9.63130040407181,1.70928097593174,9.0958,8.5
6,2021-03-30,6,9.1323934173584,1.4434542719725,8.9821,8.5
6,2021-03-30,7,8.52304909467697,1.32321909400274,8.8438,8.5
6,2021-03-30,8,7.87428842306137,1.31599198383352,8.7521,8.5
6,2021-03-30,9,7.4274645113945,1.37655688403787,8.6345,8.5
6,2021-03-30,10,7.12613740444183,1.41655112482647,8.5541,8.5
6,2021-03-30,11,6.8769470667839,1.43163546306273,8.4404,8.5
7,2021-03-30,0.5,12.9683154654503,2.4216260000698,12.8816,6.5
7,2021-03-30,1.5,11.8351524305344,2.14147242218832,12.5831,6.5
7,2021-03-30,2.5,10.9615226459503,2.01995747092559,10.5305,6.5
7,2021-03-30,3.5,10.1990329647064,1.84028155300379,10.0051,6.5
7,2021-03-30,4.5,9.70227620840073,1.75197730263865,9.5027,6.5
7,2021-03-30,5.5,9.28509489774704,1.53254617289502,9.1496,6.5
7,2021-03-30,7,8.5237374663353,1.36917838516283,8.8051,6.5
7,2021-03-30,8,7.8359202671051,1.36150259716233,8.6654,6.5
7,2021-03-30,9,7.35348971128464,1.35247158266513,8.545,6.5
7,2021-03-30,10,7.0384043598175,1.35779314418473,8.4742,6.5
7,2021-03-30,11,6.78833721399307,1.35069231658429,8.2839,6.5
8,2021-03-30,0.5,13.3609781861305,2.65315829567923,14.4355,5.5
8,2021-03-30,1.5,12.3713029360771,2.39379608033628,12.6237,5.5
8,2021-03-30,2.5,11.4922513604164,2.19261378111644,10.6859,5.5
8,2021-03-30,3.5,10.6187542152405,2.11167998726637,9.8696,5.5
8,2021-03-30,4.5,10.0342865371704,1.90922150679804,9.5321,5.5
8,2021-03-30,5.5,9.48651431560516,1.61627711912362,9.1982,5.5
8,2021-03-30,7,8.60202528476715,1.37466579482895,8.8262,5.5
8,2021-03-30,8,7.88670906543732,1.34765376350226,8.6505,5.5
8,2021-03-30,9,7.40029651165009,1.33602054929369,8.4584,5.5
8,2021-03-30,10,7.07242541790009,1.33247426406968,8.3655,5.5
8,2021-03-30,11,6.80364155769348,1.32994680861335,8.238,5.5
9,2021-03-30,0.5,13.6287111186981,2.55281687882309,16.4641,4.5
9,2021-03-30,1.5,13.0330000972748,2.52840047085479,12.5121,4.5
9,2021-03-30,2.5,12.0780639052391,2.33928563542447,10.2697,4.5
9,2021-03-30,3.5,11.0914725470543,2.2276551620914,9.5321,4.5
9,2021-03-30,4.5,10.4073927569389,1.97680899639196,9.1305,4.5
9,2021-03-30,5.5,9.73175023794174,1.74842550236775,8.8898,4.5
9,2021-03-30,7,8.66244665622711,1.4381424405735,8.5783,4.5
9,2021-03-30,8,7.9229482293129,1.39531763145876,8.5641,4.5
9,2021-03-30,9,7.3956912446022,1.40661607462165,8.507,4.5
9,2021-03-30,10,7.06709208488464,1.38477452207413,8.4645,4.5
9,2021-03-30,11,6.80584011316299,1.35856372554623,8.1816,4.5
10,2021-03-30,0.5,13.67225887537,2.80381189198584,14.3106,6.5
10,2021-03-30,1.5,13.4042588758469,2.66368196445534,13.7347,6.5
10,2021-03-30,2.5,12.5578013134003,2.47321450317251,10.4742,6.5
10,2021-03-30,3.5,11.4420503592491,2.3398451064956,9.3477,6.5
10,2021-03-30,4.5,10.7490427041054,2.15554166339515,9.049,6.5
10,2021-03-30,5.5,9.99964986801147,1.9246585578628,8.9312,6.5
10,2021-03-30,7,8.88694680690765,1.5239922473092,8.7475,6.5
10,2021-03-30,8,8.03035943508148,1.43475606898928,8.6448,6.5
10,2021-03-30,9,7.48674747943878,1.41156243530661,8.5844,6.5
10,2021-03-30,10,7.11124849557877,1.39238965400426,8.4022,6.5
10,2021-03-30,11,6.79831013917923,1.34861813610727,8.1289,6.5
11,2021-03-30,0.5,13.7063907980919,2.85170639949566,14.2175,4
11,2021-03-30,1.5,13.2951781320572,2.78501686733189,10.909,4
11,2021-03-30,2.5,12.765208594799,2.59516843652456,9.5291,4
11,2021-03-30,3.5,11.6620186185837,2.32153092877408,9.1741,4
11,2021-03-30,4.5,10.8406556010246,2.15370070133872,8.9982,4
11,2021-03-30,5.5,10.0638672280312,1.92084978330237,8.8664,4
11,2021-03-30,7,8.90056619882584,1.56527336394376,8.7027,4
11,2021-03-30,8,8.05758038520813,1.41512812523261,8.6158,4
11,2021-03-30,9,7.46440212726593,1.40550879512439,8.442,4
11,2021-03-30,10,7.0991997551918,1.42014803583408,8.3655,4
11,2021-03-30,11,6.83172776699066,1.36501431170991,8.2633,4
12,2021-03-30,0.5,13.7521228027344,2.92736766489789,13.8239,5.5
12,2021-03-30,1.5,13.4340210723877,2.82288357626588,13.7308,5.5
12,2021-03-30,2.5,12.8452642655373,2.63112364353506,13.3312,5.5
12,2021-03-30,3.5,11.8123638296127,2.37169239482664,11.7727,5.5
12,2021-03-30,4.5,10.9320912528038,2.2150293322377,9.6167,5.5
12,2021-03-30,6,9.76433744668961,1.85518102090225,9.2247,5.5
12,2021-03-30,7,8.98314952850342,1.63845101294635,8.9257,5.5
12,2021-03-30,8,8.15359946489334,1.51161508602188,8.7535,5.5
12,2021-03-30,9,7.54835594892502,1.4329262619975,8.4766,5.5
12,2021-03-30,10,7.1590927028656,1.42890018219851,8.358,5.5
12,2021-03-30,11,6.85797569990158,1.36657754523684,8.1947,5.5
13,2021-03-30,0.5,13.9551121020317,3.20774173727827,15.8914,7
13,2021-03-30,1.5,13.3852817392349,2.93804807838923,15.8615,7
13,2021-03-30,2.5,12.836031525135,2.7199008516721,12.3623,7
13,2021-03-30,3.5,11.8443708539009,2.45824120970488,9.9315,7
13,2021-03-30,4.5,10.9070745539665,2.24225025960632,9.3188,7
13,2021-03-30,6,9.78254267215729,1.78519053836887,9.0352,7
13,2021-03-30,7,8.98745733261108,1.61209472718706,8.8011,7
13,2021-03-30,8,8.1575393819809,1.53548622353432,8.6493,7
13,2021-03-30,9,7.54938335180283,1.47852856824535,8.4958,7
13,2021-03-30,10,7.158526263237,1.48300143503768,8.3749,7
13,2021-03-30,11,6.85355771541595,1.42837853468861,8.2398,7
14,2021-03-30,0.5,13.7253442454338,3.18102233895897,15.6707,9
14,2021-03-30,1.5,13.4259568572044,3.03405012511233,15.6564,9
14,2021-03-30,2.5,12.9349126005173,2.90264380372699,15.635,9
14,2021-03-30,3.5,11.9986384820938,2.54179854590201,9.9182,9
14,2021-03-30,4.5,11.0594972085953,2.28313021371654,9.4396,9
14,2021-03-30,5.5,10.2860786819458,1.89362729540219,9.1768,9
14,2021-03-30,7,9.13374744176865,1.58150257737105,8.8729,9
14,2021-03-30,8,8.25299200057983,1.50227069393441,8.73,9
14,2021-03-30,9,7.6357820892334,1.43119824245947,8.5391,9
14,2021-03-30,10,7.1720134139061,1.41591374116234,8.325,9
14,2021-03-30,11,6.8635073018074,1.39725833763057,8.1228,9
15,2021-03-30,0.5,14.0352201509476,3.04608959485799,16.5854,3.5
15,2021-03-30,1.5,13.5406584501266,3.06243267724109,16.4786,3.5
15,2021-03-30,2.5,12.981077542305,2.82095094757765,13.8387,3.5
15,2021-03-30,3.5,12.0144611501694,2.44473927385826,10.2587,3.5
15,2021-03-30,4.5,11.1725140857697,2.30276665449427,9.3092,3.5
15,2021-03-30,5.5,10.3482213544846,1.98049367724914,9.0481,3.5
15,2021-03-30,7,9.19157643079758,1.64221809210417,8.7995,3.5
15,2021-03-30,8,8.28658903598785,1.54918919303404,8.6339,3.5
15,2021-03-30,9,7.61982052087784,1.46810547366938,8.3906,3.5
15,2021-03-30,10,7.14400250911713,1.41221973315203,8.2749,3.5
15,2021-03-30,11,6.84762972831726,1.39107237351412,8.1616,3.5
16,2021-03-30,0.5,14.2800105595589,3.13298929464502,16.4823,5
16,2021-03-30,1.5,13.8065111255646,3.05086367379453,16.2049,5
16,2021-03-30,2.5,13.1605075216293,2.88173539276616,15.7642,5
16,2021-03-30,3.5,12.1345347094536,2.50172163038488,9.817,5
16,2021-03-30,4.5,11.1281140470505,2.31723819112995,9.3115,5
16,2021-03-30,5.5,10.3044156336784,1.98299468200623,9.0612,5
16,2021-03-30,7,9.1406743478775,1.61476246496112,8.8023,5
16,2021-03-30,8,8.28707167863846,1.5012305781638,8.6435,5
16,2021-03-30,9,7.63678108453751,1.42877863656703,8.4298,5
16,2021-03-30,10,7.16032798051834,1.41216787918425,8.2688,5
16,2021-03-30,11,6.86552519321442,1.41027761259677,8.0666,5
17,2021-03-30,0.5,14.4168183088303,3.1966470394272,15.2116,4.5
17,2021-03-30,1.5,13.8558677124977,3.01287155132488,15.205,4.5
17,2021-03-30,2.5,13.1798772001266,2.74383316382121,15.2138,4.5
17,2021-03-30,3.5,12.1681629991531,2.39672890201776,9.7684,4.5
17,2021-03-30,4.5,11.2814548873901,2.25698927678858,9.1083,4.5
17,2021-03-30,5.5,10.4177466726303,1.96692426427796,8.9077,4.5
17,2021-03-30,7,9.17654378175735,1.71575819853386,8.7011,4.5
17,2021-03-30,8,8.32713077545166,1.51446342266529,8.5647,4.5
17,2021-03-30,9,7.65104127883911,1.44257339290441,8.4034,4.5
17,2021-03-30,10,7.18005564928055,1.41592104433212,8.2671,4.5
17,2021-03-30,11,6.84594329357147,1.38444211678702,8.1045,4.5
18,2021-03-30,0.5,14.3283029317856,3.10315257186434,14.9336,4.5
18,2021-03-30,1.5,14.0325411128998,3.04468536930752,14.9185,4.5
18,2021-03-30,2.5,13.452108335495,2.79550489774315,14.9224,4.5
18,2021-03-30,3.5,12.4198866319656,2.45867054233277,10.6771,4.5
18,2021-03-30,4.5,11.4668014431,2.2590174998525,9.4688,4.5
18,2021-03-30,5.5,10.6042222476006,2.00507143358166,9.0901,4.5
18,2021-03-30,7,9.30521535634995,1.71102653219373,8.8355,4.5
18,2021-03-30,8,8.43815924406052,1.56614840985556,8.6336,4.5
18,2021-03-30,9,7.75338050127029,1.49704069410267,8.4246,4.5
18,2021-03-30,10,7.295120677948,1.51027002625084,8.3174,4.5
18,2021-03-30,11,6.97343606710434,1.48983681579403,8.1292,4.5
19,2021-03-30,0.5,14.4358024501801,2.95929729457856,14.951,3
19,2021-03-30,1.5,14.0553148460388,2.96506115613218,14.9457,3
19,2021-03-30,2.5,13.5213239073753,2.74621508588751,14.5261,3
19,2021-03-30,3.5,12.5966917943954,2.4164986700973,12.7575,3
19,2021-03-30,4.5,11.5996200823784,2.17228968221038,9.7657,3
19,2021-03-30,5.5,10.6989529824257,1.99272585529636,9.1294,3
19,2021-03-30,7,9.40386039495468,1.78158118463499,8.7899,3
19,2021-03-30,8,8.54029843091965,1.62140896819791,8.5505,3
19,2021-03-30,9,7.82734817504883,1.51766824793171,8.3191,3
19,2021-03-30,10,7.34920572996139,1.5026990668812,8.24,3
19,2021-03-30,11,6.99971745729446,1.44766520473802,8.0913,3
20,2021-03-30,0.5,14.7999444103241,3.01937108693639,15.7826,2.5
20,2021-03-30,1.5,14.3541990280151,2.90735880235343,14.6024,2.5
20,2021-03-30,2.5,13.6183394241333,2.78467222160277,13.9498,2.5
20,2021-03-30,3.5,12.7656734204292,2.4804742038576,11.7914,2.5
20,2021-03-30,4.5,11.7395706295967,2.26821551445683,9.58,2.5
20,2021-03-30,5.5,10.831014213562,2.01768861447099,9.1563,2.5
20,2021-03-30,7,9.47363416910171,1.78334352276276,8.8335,2.5
20,2021-03-30,8,8.5881130695343,1.63460165011203,8.6096,2.5
20,2021-03-30,9,7.85506860733032,1.55778748475673,8.3573,2.5
20,2021-03-30,10,7.36605347156525,1.51832685994068,8.1978,2.5
20,2021-03-30,11,7.03066925048828,1.50099870972774,8.0259,2.5
21,2021-03-30,0.5,14.7064170885086,2.79996644898407,15.6499,3
21,2021-03-30,1.5,14.2430505108833,2.74479067760338,14.9391,3
21,2021-03-30,2.5,13.6633895087242,2.7059677434964,13.9223,3
21,2021-03-30,3.5,12.8179458522797,2.51277173961205,11.9605,3
21,2021-03-30,4.5,11.8032739400864,2.34191110753134,9.7103,3
21,2021-03-30,5.5,10.8991084241867,2.10443026010691,9.2859,3
21,2021-03-30,7,9.51761038780212,1.82199909500416,8.9308,3
21,2021-03-30,8,8.66498049736023,1.70451020584015,8.7148,3
21,2021-03-30,9,7.91187888383865,1.57357056516851,8.3983,3
21,2021-03-30,10,7.38688096046448,1.50068049293994,8.1987,3
21,2021-03-30,11,7.02221338033676,1.46207979590048,8.017,3
22,2021-03-30,0.5,14.8689425992966,2.89081549330997,15.6663,1
22,2021-03-30,1.5,14.3835666704178,2.72353376971809,15.4356,1
22,2021-03-30,2.5,13.9051326060295,2.68173240801167,13.7586,1
22,2021-03-30,3.5,12.9340783405304,2.45327443752453,12.003,1
22,2021-03-30,4.5,11.838676507473,2.21397763068586,10.3188,1
22,2021-03-30,5.5,10.9624498438835,2.05021837200478,9.5033,1
22,2021-03-30,7,9.59629233598709,1.77842730553013,9.0276,1
22,2021-03-30,8,8.75467308759689,1.66852670647501,8.6922,1
22,2021-03-30,9,7.95823077917099,1.53730855431938,8.3641,1
22,2021-03-30,10,7.40966407060623,1.50415460705265,8.2402,1
22,2021-03-30,11,6.99245910525322,1.45507516672558,8.0794,1
23,2021-03-30,0.5,14.8814916872978,2.85407748493181,14.4108,2
23,2021-03-30,1.5,14.418153295517,2.83027913701324,14.4149,2
23,2021-03-30,2.5,14.0142506837845,2.77138840611344,14.4258,2
23,2021-03-30,3.5,13.0874535799026,2.50642551653383,14.3686,2
23,2021-03-30,4.5,11.8657989668846,2.19828822513195,9.5406,2
23,2021-03-30,5.5,10.9859343743324,2.05364490033188,9.1427,2
23,2021-03-30,7,9.58868494272232,1.7874754447959,8.7589,2
23,2021-03-30,8,8.72116371631622,1.69038110550663,8.5417,2
23,2021-03-30,9,7.98202753543854,1.61263244420189,8.3372,2
23,2021-03-30,10,7.42196696043015,1.56495234858696,8.2416,2
23,2021-03-30,11,7.01319540500641,1.49727018428926,8.0356,2
24,2021-03-30,0.5,15.2479840350151,2.89806641458841,13.1086,1.5
