"Sandy loam"||"130877475"|"133129522"
"Sandy clay loam"||"130877476"|"133129067"
"Loamy sand"||"130877477"|"133129523"
"Sandy loam"||"130877478"|"133129380"
"Loam"||"130877479"|"133129381"
"Sandy clay loam"||"130877473"|"133129214"
"Clay loam"||"130877474"|"133129066"
"Loam"||"130877470"|"133129213"
"Fine sandy loam"||"130877471"|"133129571"
"Sandy loam"||"130877472"|"133129115"
"Sandy loam"||"130877505"|"133129121"
"Sandy clay loam"||"130877506"|"133129576"
"Loamy sand"||"130877507"|"133129122"
"Sandy loam"||"130877508"|"133129577"
"Loam"||"130877509"|"133129268"
"Sandy clay loam"||"130877503"|"133129422"
"Clay loam"||"130877504"|"133129423"
"Fine sandy loam"||"130877500"|"133129120"
"Sandy loam"||"130877501"|"133129420"
"Loam"||"130877502"|"133129421"
"Sandy loam"||"130877515"|"133129273"
"Sandy clay loam"||"130877516"|"133129578"
"Loamy sand"||"130877517"|"133129124"
"Sandy loam"||"130877518"|"133129579"
"Loam"||"130877519"|"133129125"
"Sandy clay loam"||"130877513"|"133129271"
"Clay loam"||"130877514"|"133129272"
"Fine sandy loam"||"130877510"|"133129123"
"Sandy loam"||"130877511"|"133129269"
"Loam"||"130877512"|"133129270"
"Sandy loam"||"130877525"|"133129426"
"Sandy clay loam"||"130877526"|"133129427"
"Loamy sand"||"130877527"|"133129582"
"Sandy loam"||"130877528"|"133129127"
"Loam"||"130877529"|"133129583"
"Sandy clay loam"||"130877523"|"133129424"
"Clay loam"||"130877524"|"133129425"
"Loam"||"130877522"|"133129581"
"Sandy loam"||"130877521"|"133129126"
"Fine sandy loam"||"130877520"|"133129580"
"Clay loam"||"130877620"|"133129286"
"Clay"||"130877621"|"133129287"
"Loam"||"130877618"|"133129284"
"Fine sandy loam"||"130877619"|"133129285"
"Sandy clay loam"||"130877622"|"133129601"
"Clay loam"||"130877623"|"133129144"
"Fine sandy loam"||"130877624"|"133129602"
"Loam"||"130877625"|"133129145"
"Clay loam"||"130877628"|"133129289"
"Clay"||"130877629"|"133129290"
"Loam"||"130877626"|"133129146"
"Fine sandy loam"||"130877627"|"133129288"
"Sandy clay loam"||"130877630"|"133129291"
"Clay loam"||"130877631"|"133129147"
"Fine sandy loam"||"130877632"|"133129603"
"Loam"||"130877633"|"133129148"
"Loam"||"130877684"|"133129559"
"Fine sandy loam"||"130877685"|"133129408"
"Fine sandy loam"||"130877686"|"133129409"
"Sandy clay loam"||"130877693"|"133129250"
"Sandy loam"||"130877694"|"133129251"
"Sandy loam"||"130877695"|"133129252"
"Sandy loam"||"130877690"|"133129105"
"Sandy clay loam"||"130877691"|"133129561"
"Sandy clay loam"||"130877692"|"133129106"
"Clay loam"||"130877687"|"133129410"
"Sandy clay loam"||"130877688"|"133129411"
"Sandy clay loam"||"130877689"|"133129560"
