"CL"|Yes|"64936143"|"121181326"
"SC"|No |"64936143"|"121181327"
"SC"|Yes|"64936144"|"121181328"
"SC-SM"|Yes|"64936145"|"121181329"
"SC-SM"|Yes|"64936142"|"121181325"
"CL"|No |"64936142"|"121181324"
"CL"|No |"64936119"|"121181275"
"ML"|Yes|"64936119"|"121181276"
"SC"|No |"64936119"|"121181277"
"SM"|No |"64936119"|"121181278"
"CL"|Yes|"64936118"|"121181274"
"CL"|No |"64936116"|"121181266"
"ML"|Yes|"64936116"|"121181267"
"SC"|No |"64936116"|"121181268"
"SM"|No |"64936116"|"121181269"
"CH"|No |"64936117"|"121181270"
"CL"|No |"64936117"|"121181271"
"MH"|No |"64936117"|"121181272"
"ML"|Yes|"64936117"|"121181273"
"CL"|No |"64936115"|"121181262"
"ML"|Yes|"64936115"|"121181263"
"SC"|No |"64936115"|"121181264"
"SM"|No |"64936115"|"121181265"
"CL"|Yes|"64936114"|"121181261"
"CL"|No |"64936112"|"121181253"
"ML"|Yes|"64936112"|"121181254"
"SC"|No |"64936112"|"121181255"
"SM"|No |"64936112"|"121181256"
"CH"|No |"64936113"|"121181257"
"CL"|No |"64936113"|"121181258"
"MH"|No |"64936113"|"121181259"
"ML"|Yes|"64936113"|"121181260"
"CL-ML"|No |"64936072"|"121181148"
"SC-SM"|No |"64936072"|"121181150"
"ML"|Yes|"64936072"|"121181149"
"SM"|No |"64936072"|"121181151"
"CL"|Yes|"64936073"|"121181152"
"SC"|No |"64936073"|"121181153"
"CL-ML"|No |"64936075"|"121181156"
"SC-SM"|No |"64936075"|"121181159"
"ML"|No |"64936075"|"121181157"
"SC"|Yes|"64936075"|"121181158"
"SM"|No |"64936075"|"121181160"
"CL"|No |"64936074"|"121181154"
"SC"|Yes|"64936074"|"121181155"
"CL-ML"|No |"64936068"|"121181135"
"SC-SM"|No |"64936068"|"121181137"
"ML"|Yes|"64936068"|"121181136"
"SM"|No |"64936068"|"121181138"
"CL"|Yes|"64936069"|"121181139"
"SC"|No |"64936069"|"121181140"
"CL-ML"|No |"64936071"|"121181143"
"SC-SM"|No |"64936071"|"121181146"
"ML"|No |"64936071"|"121181144"
"SC"|Yes|"64936071"|"121181145"
"SM"|No |"64936071"|"121181147"
"CL"|No |"64936070"|"121181141"
"SC"|Yes|"64936070"|"121181142"
"CL-ML"|No |"64936064"|"121181122"
"SC-SM"|No |"64936064"|"121181124"
"ML"|Yes|"64936064"|"121181123"
"SM"|No |"64936064"|"121181125"
"CL"|Yes|"64936065"|"121181126"
"SC"|No |"64936065"|"121181127"
"CL-ML"|No |"64936067"|"121181130"
"SC-SM"|No |"64936067"|"121181133"
"ML"|No |"64936067"|"121181131"
"SC"|Yes|"64936067"|"121181132"
"SM"|No |"64936067"|"121181134"
"CL"|No |"64936066"|"121181128"
"SC"|Yes|"64936066"|"121181129"
"CL-ML"|No |"64936052"|"121181083"
"SC-SM"|No |"64936052"|"121181085"
"ML"|Yes|"64936052"|"121181084"
"SM"|No |"64936052"|"121181086"
"CL"|Yes|"64936053"|"121181087"
"SC"|No |"64936053"|"121181088"
"CL-ML"|No |"64936055"|"121181091"
"SC-SM"|No |"64936055"|"121181093"
"ML"|No |"64936055"|"121181092"
"SC"|Yes|"64936055"|"121181095"
"SM"|No |"64936055"|"121181094"
"CL"|No |"64936054"|"121181089"
"SC"|Yes|"64936054"|"121181090"
